Time (in Seconds),Susceptible Agents,Infected Agents,Isolating Agents,Masked Agents
1,21,28,0,30
2,21,28,0,30
3,17,32,0,30
4,15,34,1,30
5,15,34,1,30
6,13,36,1,30
7,12,37,1,30
8,10,39,1,30
9,9,40,2,30
10,9,40,2,30
11,7,42,3,30
12,5,44,4,30
13,4,45,4,30
14,2,47,5,30
15,2,47,5,30
16,2,47,5,30
17,2,47,5,30
18,2,47,5,30
19,2,47,5,30
20,2,47,5,30
21,1,48,5,30
22,1,48,5,30
23,1,48,5,30
24,0,49,5,30
25,0,49,5,30
26,0,49,5,30
27,0,49,5,30
28,0,49,5,30
29,0,49,5,30
30,0,49,5,30
31,0,49,5,30
32,0,49,5,30
33,0,49,5,30
34,0,49,5,30
35,0,49,5,30
36,0,49,5,30
37,0,49,5,30
38,0,49,5,30
39,0,49,5,30
40,0,49,5,30
41,0,49,5,30
42,0,49,5,30
43,0,49,5,30
44,0,49,5,30
45,0,49,5,30
46,0,49,5,30
47,0,49,5,30
48,0,49,5,30
49,0,49,5,30
50,0,49,5,30
51,0,49,5,30
52,0,49,5,30
53,0,49,5,30
54,0,49,5,30
55,0,49,5,30
56,0,49,5,30
57,0,49,5,30
58,0,49,5,30
59,0,49,5,30
60,0,49,5,30
61,0,49,5,30
62,0,49,5,30
63,0,49,5,30
64,0,49,5,30
65,0,49,5,30
66,0,49,5,30
67,0,49,5,30
68,0,49,5,30
69,0,49,5,30
70,0,49,5,30
71,0,49,5,30
72,0,49,5,30
73,0,49,5,30
74,0,49,5,30
75,0,49,5,30
76,0,49,5,30
77,0,49,5,30
78,0,49,5,30
79,0,49,5,30
80,0,49,5,30
81,0,49,5,30
82,0,49,5,30
83,0,49,5,30
84,0,49,5,30
85,0,49,5,30
86,0,49,5,30
87,0,49,5,30
88,0,49,5,30
89,0,49,5,30
90,0,49,5,30
91,0,49,5,30
92,0,49,5,30
93,0,49,5,30
94,0,49,5,30
95,0,49,5,30
96,0,49,5,30
97,0,49,5,30
98,0,49,5,30
99,0,49,5,30
100,0,49,5,30
101,0,49,5,30
102,0,49,5,30
103,0,49,5,30
104,0,49,5,30
105,0,49,5,30
106,0,49,5,30
107,0,49,5,30
108,0,49,5,30
109,0,49,5,30
110,0,49,5,30
111,0,49,5,30
112,0,49,5,30
113,0,49,5,30
114,0,49,5,30
115,0,49,5,30
116,0,49,5,30
117,0,49,5,30
118,0,49,5,30
119,0,49,5,30
120,0,49,5,30
121,0,49,5,30
122,0,49,5,30
123,0,49,5,30
124,0,49,5,30
125,0,49,5,30
126,0,49,5,30
127,0,49,5,30
128,0,49,5,30
129,0,49,5,30
130,0,49,5,30
131,0,49,5,30
132,0,49,5,30
133,0,49,5,30
134,0,49,5,30
135,0,49,5,30
136,0,49,5,30
137,0,49,5,30
138,0,49,5,30
139,0,49,5,30
140,0,49,5,30
141,0,49,5,30
142,0,49,5,30
143,0,49,5,30
144,0,49,5,30
145,0,49,5,30
146,0,49,5,30
147,0,49,5,30
148,0,49,5,30
149,0,49,5,30
150,0,49,5,30
151,0,49,5,30
152,0,49,5,30
153,0,49,5,30
154,0,49,5,30
155,0,49,5,30
156,0,49,5,30
157,0,49,5,30
158,0,49,5,30
159,0,49,5,30
160,0,49,5,30
161,0,49,5,30
162,0,49,5,30
163,0,49,5,30
164,0,49,5,30
165,0,49,5,30
166,0,49,5,30
167,0,49,5,30
168,0,49,5,30
169,0,49,5,30
170,0,49,5,30
171,0,49,5,30
172,0,49,5,30
173,0,49,5,30
174,0,49,5,30
175,0,49,5,30
176,0,49,5,30
177,0,49,5,30
178,0,49,5,30
179,0,49,5,30
180,0,49,5,30
181,0,49,5,30
182,0,49,5,30
183,0,49,5,30
184,0,49,5,30
185,0,49,5,30
186,0,49,5,30
187,0,49,5,30
188,0,49,5,30
189,0,49,5,30
190,0,49,5,30
191,0,49,5,30
192,0,49,5,30
193,0,49,5,30
194,0,49,5,30
195,0,49,5,30
196,0,49,5,30
197,0,49,5,30
198,0,49,5,30
199,0,49,5,30
200,0,49,5,30
201,0,49,5,30
202,0,49,5,30
203,1,48,4,30
204,1,48,4,30
205,1,48,4,30
206,1,48,4,30
207,1,48,4,30
208,2,47,3,30
209,1,48,4,30
210,3,46,2,30
211,4,45,1,30
212,4,45,1,30
213,5,44,0,30
214,5,44,0,30
215,5,44,0,30
216,4,45,0,30
217,5,44,0,30
218,5,44,0,30
219,5,44,0,30
220,4,45,1,30
221,5,44,0,30
222,5,44,0,30
223,5,44,0,30
224,5,44,0,30
225,5,44,0,30
226,4,45,0,30
227,5,44,0,30
228,5,44,0,30
229,5,44,0,30
230,5,44,0,30
231,5,44,0,30
232,4,45,1,30
233,5,44,0,30
234,5,44,0,30
235,5,44,0,30
236,5,44,0,30
237,4,45,1,30
238,5,44,0,30
239,5,44,0,30
240,5,44,0,30
241,5,44,0,30
242,5,44,0,30
243,5,44,0,30
244,3,46,2,30
245,5,44,0,30
246,4,45,1,30
247,5,44,0,30
248,5,44,0,30
249,5,44,0,30
250,5,44,0,30
251,5,44,0,30
252,4,45,0,30
253,4,45,1,30
254,5,44,0,30
255,4,45,0,30
256,5,44,0,30
257,5,44,0,30
258,4,45,1,30
259,4,45,1,30
260,5,44,0,30
261,5,44,0,30
262,5,44,0,30
263,5,44,0,30
264,5,44,0,30
265,5,44,0,30
266,5,44,0,30
267,5,44,0,30
268,5,44,0,30
269,4,45,1,30
270,4,45,1,30
271,5,44,0,30
272,5,44,0,30
273,5,44,0,30
274,5,44,0,30
275,5,44,0,30
276,5,44,0,30
277,5,44,0,30
278,4,45,0,30
279,5,44,0,30
280,5,44,0,30
281,5,44,0,30
282,5,44,0,30
283,5,44,0,30
284,5,44,0,30
285,5,44,0,30
286,5,44,0,30
287,5,44,0,30
288,5,44,0,30
289,4,45,0,30
290,5,44,0,30
291,5,44,0,30
292,5,44,0,30
293,5,44,0,30
294,5,44,0,30
295,4,45,0,30
296,5,44,0,30
297,5,44,0,30
298,5,44,0,30
299,4,45,1,30
300,5,44,0,30
301,5,44,0,30
302,4,45,1,30
303,5,44,0,30
304,4,45,0,30
305,5,44,0,30
306,5,44,0,30
307,5,44,0,30
308,5,44,0,30
309,5,44,0,30
310,5,44,0,30
311,5,44,0,30
312,5,44,0,30
313,4,45,0,30
314,5,44,0,30
315,5,44,0,30
316,5,44,0,30
317,5,44,0,30
318,5,44,0,30
319,5,44,0,30
320,4,45,1,30
321,5,44,0,30
322,5,44,0,30
323,5,44,0,30
324,4,45,0,30
325,4,45,1,30
326,4,45,1,30
327,5,44,0,30
328,4,45,1,30
329,5,44,0,30
330,5,44,0,30
331,5,44,0,30
332,4,45,1,30
333,5,44,0,30
334,5,44,0,30
335,5,44,0,30
336,5,44,0,30
337,5,44,0,30
338,4,45,1,30
339,4,45,1,30
340,5,44,0,30
341,5,44,0,30
342,5,44,0,30
343,5,44,0,30
344,5,44,0,30
345,4,45,0,30
346,5,44,0,30
347,4,45,1,30
348,4,45,0,30
349,5,44,0,30
350,5,44,0,30
351,5,44,0,30
352,3,46,2,30
353,3,46,1,30
354,4,45,0,30
355,5,44,0,30
356,5,44,0,30
357,5,44,0,30
358,5,44,0,30
359,5,44,0,30
360,4,45,0,30
361,4,45,1,30
362,5,44,0,30
363,5,44,0,30
364,5,44,0,30
365,5,44,0,30
366,4,45,1,30
367,5,44,0,30
368,5,44,0,30
369,5,44,0,30
370,5,44,0,30
371,4,45,1,30
372,5,44,0,30
373,5,44,0,30
374,4,45,1,30
375,5,44,0,30
376,4,45,1,30
377,5,44,0,30
378,5,44,0,30
379,5,44,0,30
380,5,44,0,30
381,4,45,1,30
382,5,44,0,30
383,5,44,0,30
384,5,44,0,30
385,5,44,0,30
386,4,45,1,30
387,5,44,0,30
388,4,45,0,30
389,5,44,0,30
390,5,44,0,30
391,5,44,0,30
392,5,44,0,30
393,4,45,0,30
394,5,44,0,30
395,5,44,0,30
396,5,44,0,30
397,4,45,0,30
398,5,44,0,30
399,5,44,0,30
400,5,44,0,30
401,5,44,0,30
402,5,44,0,30
403,5,44,0,30
404,5,44,0,30
405,5,44,0,30
406,4,45,0,30
407,5,44,0,30
408,5,44,0,30
409,3,46,1,30
410,5,44,0,30
411,5,44,0,30
412,5,44,0,30
413,5,44,0,30
414,4,45,1,30
415,5,44,0,30
416,5,44,0,30
417,5,44,0,30
418,4,45,1,30
419,5,44,0,30
420,3,46,1,30
421,4,45,1,30
422,5,44,0,30
423,5,44,0,30
424,5,44,0,30
425,5,44,0,30
426,4,45,0,30
427,5,44,0,30
428,4,45,0,30
429,5,44,0,30
430,5,44,0,30
431,5,44,0,30
432,5,44,0,30
433,5,44,0,30
434,4,45,1,30
435,4,45,1,30
436,5,44,0,30
437,5,44,0,30
438,4,45,1,30
439,5,44,0,30
440,3,46,2,30
441,5,44,0,30
442,5,44,0,30
443,5,44,0,30
444,3,46,2,30
445,5,44,0,30
446,5,44,0,30
447,5,44,0,30
448,5,44,0,30
449,5,44,0,30
450,5,44,0,30
451,5,44,0,30
452,4,45,1,30
453,5,44,0,30
454,4,45,1,30
455,5,44,0,30
456,5,44,0,30
457,5,44,0,30
458,5,44,0,30
459,5,44,0,30
460,4,45,1,30
461,5,44,0,30
462,5,44,0,30
463,5,44,0,30
464,4,45,0,30
465,3,46,2,30
466,5,44,0,30
467,5,44,0,30
468,5,44,0,30
469,5,44,0,30
470,4,45,1,30
471,4,45,1,30
472,5,44,0,30
473,5,44,0,30
474,5,44,0,30
475,5,44,0,30
476,5,44,0,30
477,4,45,1,30
478,5,44,0,30
479,5,44,0,30
480,5,44,0,30
481,5,44,0,30
482,4,45,0,30
483,5,44,0,30
484,5,44,0,30
485,5,44,0,30
486,4,45,1,30
487,5,44,0,30
488,5,44,0,30
489,5,44,0,30
490,5,44,0,30
