Time (in Seconds),Susceptible Agents,Infected Agents,Isolating Agents,Masked Agents
1,25,24,0,35
2,24,25,0,35
3,21,28,1,35
4,20,29,1,35
5,17,32,2,35
6,16,33,2,35
7,15,34,3,35
8,12,37,3,35
9,10,39,3,35
10,8,41,4,35
11,6,43,4,35
12,5,44,4,35
13,5,44,4,35
14,4,45,4,35
15,3,46,4,35
16,3,46,4,35
17,3,46,4,35
18,2,47,4,35
19,2,47,4,35
20,1,48,4,35
21,1,48,4,35
22,1,48,4,35
23,1,48,4,35
24,1,48,4,35
25,0,49,4,35
26,0,49,4,35
27,0,49,4,35
28,0,49,4,35
29,0,49,4,35
30,0,49,4,35
31,0,49,4,35
32,0,49,4,35
33,0,49,4,35
34,0,49,4,35
35,0,49,4,35
36,0,49,4,35
37,0,49,4,35
38,0,49,4,35
39,0,49,4,35
40,0,49,4,35
41,0,49,4,35
42,0,49,4,35
43,0,49,4,35
44,0,49,4,35
45,0,49,4,35
46,0,49,4,35
47,0,49,4,35
48,0,49,4,35
49,0,49,4,35
50,0,49,4,35
51,0,49,4,35
52,0,49,4,35
53,0,49,4,35
54,0,49,4,35
55,0,49,4,35
56,0,49,4,35
57,0,49,4,35
58,0,49,4,35
59,0,49,4,35
60,0,49,4,35
61,0,49,4,35
62,0,49,4,35
63,0,49,4,35
64,0,49,4,35
65,0,49,4,35
66,0,49,4,35
67,0,49,4,35
68,0,49,4,35
69,0,49,4,35
70,0,49,4,35
71,0,49,4,35
72,0,49,4,35
73,0,49,4,35
74,0,49,4,35
75,0,49,4,35
76,0,49,4,35
77,0,49,4,35
78,0,49,4,35
79,0,49,4,35
80,0,49,4,35
81,0,49,4,35
82,0,49,4,35
83,0,49,4,35
84,0,49,4,35
85,0,49,4,35
86,0,49,4,35
87,0,49,4,35
88,0,49,4,35
89,0,49,4,35
90,0,49,4,35
91,0,49,4,35
92,0,49,4,35
93,0,49,4,35
94,0,49,4,35
95,0,49,4,35
96,0,49,4,35
97,0,49,4,35
98,0,49,4,35
99,0,49,4,35
100,0,49,4,35
101,0,49,4,35
102,0,49,4,35
103,0,49,4,35
104,0,49,4,35
105,0,49,4,35
106,0,49,4,35
107,0,49,4,35
108,0,49,4,35
109,0,49,4,35
110,0,49,4,35
111,0,49,4,35
112,0,49,4,35
113,0,49,4,35
114,0,49,4,35
115,0,49,4,35
116,0,49,4,35
117,0,49,4,35
118,0,49,4,35
119,0,49,4,35
120,0,49,4,35
121,0,49,4,35
122,0,49,4,35
123,0,49,4,35
124,0,49,4,35
125,0,49,4,35
126,0,49,4,35
127,0,49,4,35
128,0,49,4,35
129,0,49,4,35
130,0,49,4,35
131,0,49,4,35
132,0,49,4,35
133,0,49,4,35
134,0,49,4,35
135,0,49,4,35
136,0,49,4,35
137,0,49,4,35
138,0,49,4,35
139,0,49,4,35
140,0,49,4,35
141,0,49,4,35
142,0,49,4,35
143,0,49,4,35
144,0,49,4,35
145,0,49,4,35
146,0,49,4,35
147,0,49,4,35
148,0,49,4,35
149,0,49,4,35
150,0,49,4,35
151,0,49,4,35
152,0,49,4,35
153,0,49,4,35
154,0,49,4,35
155,0,49,4,35
156,0,49,4,35
157,0,49,4,35
158,0,49,4,35
159,0,49,4,35
160,0,49,4,35
161,0,49,4,35
162,0,49,4,35
163,0,49,4,35
164,0,49,4,35
165,0,49,4,35
166,0,49,4,35
167,0,49,4,35
168,0,49,4,35
169,0,49,4,35
170,0,49,4,35
171,0,49,4,35
172,0,49,4,35
173,0,49,4,35
174,0,49,4,35
175,0,49,4,35
176,0,49,4,35
177,0,49,4,35
178,0,49,4,35
179,0,49,4,35
180,0,49,4,35
181,0,49,4,35
182,0,49,4,35
183,0,49,4,35
184,0,49,4,35
185,0,49,4,35
186,0,49,4,35
187,0,49,4,35
188,0,49,4,35
189,0,49,4,35
190,0,49,4,35
191,0,49,4,35
192,0,49,4,35
193,0,49,4,35
194,0,49,4,35
195,0,49,4,35
196,0,49,4,35
197,0,49,4,35
198,0,49,4,35
199,0,49,4,35
200,0,49,4,35
201,0,49,4,35
202,1,48,3,35
203,1,48,3,35
204,2,47,2,35
205,2,47,2,35
206,3,46,1,35
207,3,46,1,35
208,3,46,1,35
209,4,45,0,35
210,4,45,0,35
211,4,45,0,35
212,3,46,1,35
213,3,46,0,35
214,4,45,0,35
215,4,45,0,35
216,3,46,1,35
217,4,45,0,35
218,4,45,0,35
219,4,45,0,35
220,4,45,0,35
221,4,45,0,35
222,4,45,0,35
223,4,45,0,35
224,4,45,0,35
225,4,45,0,35
226,4,45,0,35
227,4,45,0,35
228,4,45,0,35
229,4,45,0,35
230,4,45,0,35
231,4,45,0,35
232,4,45,0,35
233,4,45,0,35
234,4,45,0,35
235,4,45,0,35
236,4,45,0,35
237,3,46,0,35
238,4,45,0,35
239,4,45,0,35
240,4,45,0,35
241,4,45,0,35
242,4,45,0,35
243,3,46,1,35
244,4,45,0,35
245,4,45,0,35
246,4,45,0,35
247,4,45,0,35
248,4,45,0,35
249,4,45,0,35
250,4,45,0,35
251,4,45,0,35
