Time (in Seconds),Susceptible Agents,Infected Agents,Isolating Agents,Masked Agents
1,23,26,1,0
2,21,28,2,0
3,20,29,3,0
4,20,29,3,0
5,16,33,4,0
6,15,34,4,0
7,14,35,5,0
8,13,36,5,0
9,10,39,6,0
10,9,40,7,0
11,8,41,7,0
12,7,42,7,0
13,5,44,7,0
14,5,44,7,0
15,4,45,7,0
16,4,45,7,0
17,3,46,7,0
18,2,47,7,0
19,2,47,7,0
20,2,47,7,0
21,2,47,7,0
22,2,47,7,0
23,2,47,7,0
24,2,47,7,0
25,2,47,7,0
26,2,47,7,0
27,1,48,7,0
28,1,48,7,0
29,1,48,7,0
30,0,49,8,0
31,0,49,8,0
32,0,49,8,0
33,0,49,8,0
34,0,49,8,0
35,0,49,8,0
36,0,49,8,0
37,0,49,8,0
38,0,49,8,0
39,0,49,8,0
40,0,49,8,0
41,0,49,8,0
42,0,49,8,0
43,0,49,8,0
44,0,49,8,0
45,0,49,8,0
46,0,49,8,0
47,0,49,8,0
48,0,49,8,0
49,0,49,8,0
50,0,49,8,0
51,0,49,8,0
52,0,49,8,0
53,0,49,8,0
54,0,49,8,0
55,0,49,8,0
56,0,49,8,0
57,0,49,8,0
58,0,49,8,0
59,0,49,8,0
60,0,49,8,0
61,0,49,8,0
62,0,49,8,0
63,0,49,8,0
64,0,49,8,0
65,0,49,8,0
66,0,49,8,0
67,0,49,8,0
68,0,49,8,0
69,0,49,8,0
70,0,49,8,0
71,0,49,8,0
72,0,49,8,0
73,0,49,8,0
74,0,49,8,0
75,0,49,8,0
76,0,49,8,0
77,0,49,8,0
78,0,49,8,0
79,0,49,8,0
80,0,49,8,0
81,0,49,8,0
82,0,49,8,0
83,0,49,8,0
84,0,49,8,0
85,0,49,8,0
86,0,49,8,0
87,0,49,8,0
88,0,49,8,0
89,0,49,8,0
90,0,49,8,0
91,0,49,8,0
92,0,49,8,0
93,0,49,8,0
94,0,49,8,0
95,0,49,8,0
96,0,49,8,0
97,0,49,8,0
98,0,49,8,0
99,0,49,8,0
100,0,49,8,0
101,0,49,8,0
102,0,49,8,0
103,0,49,8,0
104,0,49,8,0
105,0,49,8,0
106,0,49,8,0
107,0,49,8,0
108,0,49,8,0
109,0,49,8,0
110,0,49,8,0
111,0,49,8,0
112,0,49,8,0
113,0,49,8,0
114,0,49,8,0
115,0,49,8,0
116,0,49,8,0
117,0,49,8,0
118,0,49,8,0
119,0,49,8,0
120,0,49,8,0
121,0,49,8,0
122,0,49,8,0
123,0,49,8,0
124,0,49,8,0
125,0,49,8,0
126,0,49,8,0
127,0,49,8,0
128,0,49,8,0
129,0,49,8,0
130,0,49,8,0
131,0,49,8,0
132,0,49,8,0
133,0,49,8,0
134,0,49,8,0
135,0,49,8,0
136,0,49,8,0
137,0,49,8,0
138,0,49,8,0
139,0,49,8,0
140,0,49,8,0
141,0,49,8,0
142,0,49,8,0
143,0,49,8,0
144,0,49,8,0
145,0,49,8,0
146,0,49,8,0
147,0,49,8,0
148,0,49,8,0
149,0,49,8,0
150,0,49,8,0
151,0,49,8,0
152,0,49,8,0
153,0,49,8,0
154,0,49,8,0
155,0,49,8,0
156,0,49,8,0
157,0,49,8,0
158,0,49,8,0
159,0,49,8,0
160,0,49,8,0
161,0,49,8,0
162,0,49,8,0
163,0,49,8,0
164,0,49,8,0
165,0,49,8,0
166,0,49,8,0
167,0,49,8,0
168,0,49,8,0
169,0,49,8,0
170,0,49,8,0
171,0,49,8,0
172,0,49,8,0
173,0,49,8,0
174,0,49,8,0
175,0,49,8,0
176,0,49,8,0
177,0,49,8,0
178,0,49,8,0
179,0,49,8,0
180,0,49,8,0
181,0,49,8,0
182,0,49,8,0
183,0,49,8,0
184,0,49,8,0
185,0,49,8,0
186,0,49,8,0
187,0,49,8,0
188,0,49,8,0
189,0,49,8,0
190,0,49,8,0
191,0,49,8,0
192,0,49,8,0
193,0,49,8,0
194,0,49,8,0
195,0,49,8,0
196,0,49,8,0
197,0,49,8,0
198,0,49,8,0
199,0,49,8,0
200,1,48,7,0
201,2,47,6,0
202,3,46,5,0
203,3,46,5,0
204,4,45,4,0
205,3,46,4,0
206,5,44,3,0
207,5,44,3,0
208,6,43,2,0
209,6,43,2,0
210,6,43,2,0
211,7,42,1,0
212,6,43,2,0
213,7,42,1,0
214,7,42,1,0
215,6,43,2,0
216,6,43,2,0
217,7,42,1,0
218,7,42,1,0
219,6,43,2,0
220,7,42,1,0
221,7,42,1,0
222,7,42,1,0
223,7,42,1,0
224,6,43,2,0
225,7,42,1,0
226,7,42,1,0
227,6,43,2,0
228,7,42,1,0
229,8,41,0,0
230,7,42,1,0
231,7,42,0,0
232,8,41,0,0
233,8,41,0,0
234,8,41,0,0
235,8,41,0,0
236,8,41,0,0
237,7,42,1,0
238,8,41,0,0
239,8,41,0,0
240,8,41,0,0
241,8,41,0,0
242,8,41,0,0
243,8,41,0,0
244,8,41,0,0
245,8,41,0,0
246,8,41,0,0
247,7,42,1,0
248,7,42,1,0
249,8,41,0,0
250,8,41,0,0
251,7,42,1,0
252,7,42,0,0
253,8,41,0,0
254,8,41,0,0
255,8,41,0,0
256,8,41,0,0
257,7,42,1,0
258,8,41,0,0
259,8,41,0,0
260,8,41,0,0
261,8,41,0,0
262,8,41,0,0
263,8,41,0,0
264,8,41,0,0
265,8,41,0,0
266,8,41,0,0
267,8,41,0,0
268,8,41,0,0
269,7,42,1,0
270,8,41,0,0
271,7,42,1,0
272,7,42,1,0
273,8,41,0,0
274,8,41,0,0
275,8,41,0,0
276,8,41,0,0
277,8,41,0,0
278,8,41,0,0
279,8,41,0,0
280,8,41,0,0
281,8,41,0,0
282,8,41,0,0
283,8,41,0,0
284,8,41,0,0
285,8,41,0,0
286,8,41,0,0
287,6,43,0,0
288,8,41,0,0
289,7,42,1,0
290,7,42,0,0
291,8,41,0,0
292,8,41,0,0
293,8,41,0,0
294,8,41,0,0
295,8,41,0,0
296,8,41,0,0
297,8,41,0,0
298,8,41,0,0
299,7,42,0,0
300,8,41,0,0
301,8,41,0,0
302,8,41,0,0
303,8,41,0,0
304,8,41,0,0
305,8,41,0,0
306,8,41,0,0
307,8,41,0,0
308,7,42,0,0
309,8,41,0,0
310,8,41,0,0
311,8,41,0,0
312,6,43,0,0
313,7,42,1,0
314,8,41,0,0
315,8,41,0,0
316,7,42,1,0
317,8,41,0,0
318,8,41,0,0
319,8,41,0,0
320,8,41,0,0
