Time (in Seconds),Susceptible Agents,Infected Agents,Isolating Agents,Masked Agents
1,25,24,0,0
2,25,24,0,0
3,25,24,0,0
4,24,25,0,0
5,24,25,0,0
6,24,25,0,0
7,24,25,0,0
8,24,25,0,0
9,24,25,0,0
10,24,25,0,0
11,24,25,0,0
12,24,25,0,0
13,24,25,0,0
14,23,26,1,0
15,23,26,1,0
16,23,26,1,0
17,22,27,2,0
18,22,27,2,0
19,22,27,2,0
20,22,27,2,0
21,22,27,2,0
22,21,28,2,0
23,21,28,2,0
24,21,28,2,0
25,21,28,2,0
26,21,28,2,0
27,21,28,2,0
28,21,28,2,0
29,21,28,2,0
30,20,29,2,0
31,20,29,2,0
32,20,29,2,0
33,20,29,2,0
34,20,29,2,0
35,20,29,2,0
36,19,30,2,0
37,19,30,2,0
38,19,30,2,0
39,19,30,2,0
40,19,30,2,0
41,19,30,2,0
42,19,30,2,0
43,19,30,2,0
44,19,30,2,0
45,19,30,2,0
46,19,30,2,0
47,19,30,2,0
48,19,30,2,0
49,19,30,2,0
50,19,30,2,0
51,19,30,2,0
52,19,30,2,0
53,19,30,2,0
54,17,32,2,0
55,15,34,2,0
56,15,34,2,0
57,15,34,2,0
58,15,34,2,0
59,15,34,2,0
60,15,34,2,0
61,14,35,2,0
62,14,35,2,0
63,13,36,3,0
64,13,36,3,0
65,13,36,3,0
66,13,36,3,0
67,13,36,3,0
68,13,36,3,0
69,13,36,3,0
70,13,36,3,0
71,13,36,3,0
72,13,36,3,0
73,13,36,3,0
74,12,37,4,0
75,12,37,4,0
76,12,37,4,0
77,12,37,4,0
78,12,37,4,0
79,12,37,4,0
80,12,37,4,0
81,12,37,4,0
82,12,37,4,0
83,12,37,4,0
84,12,37,4,0
85,11,38,5,0
86,11,38,5,0
87,10,39,6,0
88,10,39,6,0
89,10,39,6,0
90,10,39,6,0
91,10,39,6,0
92,10,39,6,0
93,10,39,6,0
94,10,39,6,0
95,10,39,6,0
96,10,39,6,0
97,10,39,6,0
98,10,39,6,0
99,10,39,6,0
100,9,40,6,0
101,9,40,6,0
102,8,41,7,0
103,7,42,7,0
104,7,42,7,0
105,7,42,7,0
106,7,42,7,0
107,7,42,7,0
108,7,42,7,0
109,7,42,7,0
110,7,42,7,0
111,7,42,7,0
112,7,42,7,0
113,7,42,7,0
114,7,42,7,0
115,7,42,7,0
116,7,42,7,0
117,7,42,7,0
118,7,42,7,0
119,7,42,7,0
120,7,42,7,0
121,7,42,7,0
122,7,42,7,0
123,7,42,7,0
124,7,42,7,0
125,7,42,7,0
126,7,42,7,0
127,7,42,7,0
128,7,42,7,0
129,7,42,7,0
130,7,42,7,0
131,7,42,7,0
132,7,42,7,0
133,7,42,7,0
134,7,42,7,0
135,7,42,7,0
136,7,42,7,0
