Time (in Seconds),Susceptible Agents,Infected Agents,Isolating Agents,Masked Agents
1,23,26,0,0
2,22,27,0,0
3,22,27,0,0
4,22,27,0,0
5,22,27,0,0
6,20,29,2,0
7,19,30,3,0
8,19,30,3,0
9,18,31,3,0
10,18,31,3,0
11,18,31,3,0
12,18,31,3,0
13,18,31,3,0
14,18,31,3,0
15,18,31,3,0
16,18,31,3,0
17,18,31,3,0
18,18,31,3,0
19,18,31,3,0
20,17,32,4,0
21,16,33,4,0
22,16,33,4,0
23,16,33,4,0
24,16,33,4,0
25,16,33,4,0
26,16,33,4,0
27,16,33,4,0
28,16,33,4,0
29,16,33,4,0
30,16,33,4,0
31,16,33,4,0
32,16,33,4,0
33,16,33,4,0
34,16,33,4,0
35,16,33,4,0
36,16,33,4,0
37,16,33,4,0
38,16,33,4,0
39,16,33,4,0
40,16,33,4,0
41,16,33,4,0
42,15,34,5,0
43,14,35,6,0
44,14,35,6,0
45,13,36,6,0
46,13,36,6,0
47,13,36,6,0
48,13,36,6,0
49,13,36,6,0
50,13,36,6,0
51,13,36,6,0
52,12,37,7,0
53,12,37,7,0
54,11,38,7,0
55,11,38,7,0
56,11,38,7,0
57,11,38,7,0
58,11,38,7,0
59,11,38,7,0
60,11,38,7,0
61,11,38,7,0
62,10,39,7,0
63,10,39,7,0
64,10,39,7,0
65,9,40,8,0
66,9,40,8,0
67,9,40,8,0
68,9,40,8,0
69,9,40,8,0
70,9,40,8,0
71,9,40,8,0
72,9,40,8,0
73,9,40,8,0
74,9,40,8,0
75,9,40,8,0
76,9,40,8,0
77,9,40,8,0
78,9,40,8,0
79,9,40,8,0
80,9,40,8,0
81,9,40,8,0
82,9,40,8,0
83,9,40,8,0
84,9,40,8,0
85,9,40,8,0
86,8,41,9,0
87,8,41,9,0
88,8,41,9,0
89,8,41,9,0
90,8,41,9,0
91,8,41,9,0
92,8,41,9,0
93,8,41,9,0
94,8,41,9,0
95,8,41,9,0
96,8,41,9,0
97,8,41,9,0
98,8,41,9,0
99,8,41,9,0
100,8,41,9,0
101,8,41,9,0
102,8,41,9,0
103,8,41,9,0
104,8,41,9,0
105,8,41,9,0
106,8,41,9,0
107,8,41,9,0
108,8,41,9,0
109,8,41,9,0
110,8,41,9,0
111,8,41,9,0
112,8,41,9,0
113,7,42,9,0
114,7,42,9,0
115,7,42,9,0
116,7,42,9,0
117,7,42,9,0
118,7,42,9,0
119,7,42,9,0
120,7,42,9,0
121,7,42,9,0
122,7,42,9,0
123,7,42,9,0
124,7,42,9,0
125,7,42,9,0
126,7,42,9,0
127,7,42,9,0
128,7,42,9,0
129,7,42,9,0
130,7,42,9,0
131,7,42,9,0
132,7,42,9,0
133,7,42,9,0
134,7,42,9,0
135,7,42,9,0
136,7,42,9,0
137,7,42,9,0
138,7,42,9,0
139,7,42,9,0
140,7,42,9,0
141,7,42,9,0
142,7,42,9,0
143,7,42,9,0
144,7,42,9,0
145,7,42,9,0
146,7,42,9,0
