Time (in Seconds),Susceptible Agents,Infected Agents,Isolating Agents,Masked Agents
317,9,40,1,41
318,10,39,0,41
319,10,39,0,41
320,9,40,1,41
321,10,39,0,41
322,10,39,0,41
323,10,39,0,41
324,9,40,1,41
325,10,39,0,41
326,10,39,0,41
327,10,39,0,41
328,10,39,0,41
329,10,39,0,41
330,10,39,0,41
331,10,39,0,41
332,10,39,0,41
333,10,39,0,41
334,8,41,1,41
335,9,40,0,41
336,10,39,0,41
337,10,39,0,41
338,10,39,0,41
339,10,39,0,41
340,10,39,0,41
341,10,39,0,41
342,9,40,1,41
343,10,39,0,41
344,10,39,0,41
345,9,40,1,41
346,10,39,0,41
347,10,39,0,41
348,10,39,0,41
349,10,39,0,41
350,10,39,0,41
351,10,39,0,41
352,10,39,0,41
353,10,39,0,41
354,10,39,0,41
355,10,39,0,41
356,10,39,0,41
357,10,39,0,41
358,10,39,0,41
359,10,39,0,41
360,10,39,0,41
361,10,39,0,41
362,10,39,0,41
363,10,39,0,41
364,10,39,0,41
365,10,39,0,41
366,9,40,0,41
367,10,39,0,41
368,9,40,1,41
369,10,39,0,41
370,10,39,0,41
371,10,39,0,41
372,10,39,0,41
373,10,39,0,41
374,9,40,0,41
375,10,39,0,41
376,10,39,0,41
377,10,39,0,41
378,10,39,0,41
379,10,39,0,41
380,9,40,0,41
381,10,39,0,41
382,10,39,0,41
383,10,39,0,41
384,10,39,0,41
385,9,40,1,41
386,10,39,0,41
387,9,40,1,41
388,9,40,1,41
389,10,39,0,41
390,10,39,0,41
391,10,39,0,41
392,10,39,0,41
393,9,40,0,41
394,8,41,2,41
395,10,39,0,41
396,10,39,0,41
397,9,40,1,41
398,9,40,0,41
399,9,40,1,41
400,9,40,1,41
401,10,39,0,41
402,10,39,0,41
403,10,39,0,41
404,10,39,0,41
405,8,41,2,41
406,10,39,0,41
407,10,39,0,41
408,9,40,0,41
409,7,42,2,41
410,10,39,0,41
411,10,39,0,41
412,10,39,0,41
413,10,39,0,41
414,8,41,0,41
415,9,40,1,41
416,10,39,0,41
417,10,39,0,41
418,10,39,0,41
419,9,40,1,41
420,10,39,0,41
421,9,40,1,41
422,10,39,0,41
423,9,40,1,41
424,10,39,0,41
425,10,39,0,41
426,10,39,0,41
427,9,40,1,41
428,10,39,0,41
429,10,39,0,41
430,10,39,0,41
431,10,39,0,41
432,10,39,0,41
433,10,39,0,41
434,10,39,0,41
435,10,39,0,41
436,9,40,1,41
437,10,39,0,41
438,10,39,0,41
439,9,40,1,41
440,10,39,0,41
441,9,40,0,41
442,9,40,0,41
443,8,41,1,41
444,10,39,0,41
445,10,39,0,41
446,10,39,0,41
447,9,40,1,41
448,10,39,0,41
449,10,39,0,41
450,10,39,0,41
451,10,39,0,41
452,9,40,0,41
453,9,40,1,41
454,10,39,0,41
455,10,39,0,41
456,9,40,0,41
457,10,39,0,41
458,8,41,2,41
459,9,40,1,41
460,10,39,0,41
461,10,39,0,41
462,10,39,0,41
463,9,40,1,41
464,10,39,0,41
465,10,39,0,41
466,10,39,0,41
467,9,40,1,41
468,10,39,0,41
469,10,39,0,41
470,9,40,1,41
471,9,40,1,41
472,9,40,0,41
473,10,39,0,41
474,10,39,0,41
475,10,39,0,41
476,10,39,0,41
477,10,39,0,41
478,10,39,0,41
479,10,39,0,41
480,9,40,1,41
481,9,40,1,41
482,10,39,0,41
483,9,40,1,41
484,10,39,0,41
485,10,39,0,41
486,10,39,0,41
487,10,39,0,41
488,10,39,0,41
489,10,39,0,41
490,9,40,0,41
491,9,40,0,41
492,10,39,0,41
493,10,39,0,41
494,10,39,0,41
495,9,40,1,41
496,10,39,0,41
497,10,39,0,41
498,10,39,0,41
499,7,42,1,41
500,9,40,1,41
501,10,39,0,41
502,9,40,0,41
503,8,41,1,41
504,9,40,1,41
505,10,39,0,41
506,9,40,1,41
507,10,39,0,41
508,10,39,0,41
509,10,39,0,41
510,10,39,0,41
511,9,40,1,41
512,10,39,0,41
513,10,39,0,41
514,10,39,0,41
515,10,39,0,41
516,10,39,0,41
517,9,40,1,41
518,10,39,0,41
519,10,39,0,41
520,10,39,0,41
521,10,39,0,41
522,10,39,0,41
523,9,40,1,41
524,9,40,1,41
525,10,39,0,41
526,10,39,0,41
527,9,40,1,41
528,10,39,0,41
529,10,39,0,41
530,9,40,1,41
531,10,39,0,41
532,10,39,0,41
533,10,39,0,41
534,10,39,0,41
535,10,39,0,41
536,10,39,0,41
537,10,39,0,41
538,9,40,1,41
539,10,39,0,41
540,10,39,0,41
541,9,40,1,41
542,9,40,0,41
543,10,39,0,41
544,9,40,1,41
545,10,39,0,41
546,10,39,0,41
547,10,39,0,41
548,9,40,1,41
549,10,39,0,41
550,9,40,1,41
551,10,39,0,41
552,9,40,0,41
553,10,39,0,41
554,10,39,0,41
555,9,40,1,41
556,9,40,1,41
557,10,39,0,41
558,10,39,0,41
559,7,42,2,41
560,10,39,0,41
561,10,39,0,41
562,10,39,0,41
563,10,39,0,41
564,8,41,0,41
565,9,40,1,41
566,8,41,2,41
567,10,39,0,41
568,10,39,0,41
569,10,39,0,41
570,9,40,1,41
571,10,39,0,41
572,10,39,0,41
573,10,39,0,41
574,10,39,0,41
575,10,39,0,41
576,9,40,1,41
577,10,39,0,41
578,7,42,2,41
579,10,39,0,41
580,10,39,0,41
581,9,40,0,41
582,10,39,0,41
583,10,39,0,41
584,9,40,0,41
585,10,39,0,41
586,9,40,1,41
