Time (in Seconds),Susceptible Agents,Infected Agents,Isolating Agents,Masked Agents
1,25,24,0,0
2,25,24,0,0
3,25,24,0,0
4,25,24,0,0
5,25,24,0,0
6,25,24,0,0
7,25,24,0,0
8,25,24,0,0
9,25,24,0,0
10,24,25,0,0
11,24,25,0,0
12,24,25,0,0
13,24,25,0,0
14,24,25,0,0
15,24,25,0,0
16,24,25,0,0
17,24,25,0,0
18,23,26,1,0
19,23,26,1,0
20,22,27,1,0
21,22,27,1,0
22,22,27,1,0
23,20,29,2,0
24,20,29,2,0
25,20,29,2,0
26,20,29,2,0
27,20,29,2,0
28,20,29,2,0
29,20,29,2,0
30,20,29,2,0
31,20,29,2,0
32,20,29,2,0
33,20,29,2,0
34,20,29,2,0
35,20,29,2,0
36,18,31,2,0
37,18,31,2,0
38,18,31,2,0
39,18,31,2,0
40,18,31,2,0
41,18,31,2,0
42,18,31,2,0
43,18,31,2,0
44,18,31,2,0
45,18,31,2,0
46,18,31,2,0
47,18,31,2,0
48,18,31,2,0
49,18,31,2,0
50,17,32,2,0
51,17,32,2,0
52,17,32,2,0
53,17,32,2,0
54,17,32,2,0
55,17,32,2,0
56,16,33,2,0
57,15,34,3,0
58,15,34,3,0
59,14,35,4,0
60,14,35,4,0
61,14,35,4,0
62,14,35,4,0
63,14,35,4,0
64,14,35,4,0
65,14,35,4,0
66,13,36,5,0
67,13,36,5,0
68,12,37,5,0
69,12,37,5,0
70,12,37,5,0
71,12,37,5,0
72,11,38,5,0
73,11,38,5,0
74,11,38,5,0
75,11,38,5,0
76,11,38,5,0
77,11,38,5,0
78,11,38,5,0
79,11,38,5,0
80,11,38,5,0
81,11,38,5,0
82,11,38,5,0
83,11,38,5,0
84,11,38,5,0
85,11,38,5,0
86,11,38,5,0
87,10,39,5,0
88,10,39,5,0
89,10,39,5,0
90,10,39,5,0
91,9,40,5,0
92,9,40,5,0
93,9,40,5,0
94,9,40,5,0
95,9,40,5,0
96,9,40,5,0
97,9,40,5,0
98,9,40,5,0
99,9,40,5,0
100,9,40,5,0
101,9,40,5,0
102,9,40,5,0
103,9,40,5,0
104,9,40,5,0
105,9,40,5,0
106,9,40,5,0
107,9,40,5,0
108,9,40,5,0
109,9,40,5,0
110,9,40,5,0
111,9,40,5,0
112,8,41,5,0
113,8,41,5,0
114,8,41,5,0
115,7,42,5,0
116,7,42,5,0
117,7,42,5,0
118,7,42,5,0
119,7,42,5,0
120,7,42,5,0
121,7,42,5,0
122,7,42,5,0
123,7,42,5,0
124,6,43,5,0
125,6,43,5,0
126,6,43,5,0
127,6,43,5,0
128,6,43,5,0
129,6,43,5,0
130,6,43,5,0
131,6,43,5,0
132,6,43,5,0
133,6,43,5,0
134,6,43,5,0
135,6,43,5,0
136,6,43,5,0
