Time (in Seconds),Susceptible Agents,Infected Agents,Isolating Agents,Masked Agents
1,28,21,0,0
2,28,21,0,0
3,28,21,0,0
4,28,21,0,0
5,28,21,0,0
6,28,21,0,0
7,28,21,0,0
8,28,21,0,0
9,27,22,1,0
10,27,22,1,0
11,26,23,1,0
12,25,24,2,0
13,24,25,3,0
14,24,25,3,0
15,24,25,3,0
16,24,25,3,0
17,24,25,3,0
18,24,25,3,0
19,23,26,3,0
20,23,26,3,0
21,23,26,3,0
22,23,26,3,0
23,22,27,4,0
24,22,27,4,0
25,21,28,5,0
26,20,29,5,0
27,19,30,5,0
28,19,30,5,0
29,19,30,5,0
30,19,30,5,0
31,19,30,5,0
32,19,30,5,0
33,19,30,5,0
34,17,32,6,0
35,17,32,6,0
36,17,32,6,0
37,17,32,6,0
38,17,32,6,0
39,17,32,6,0
40,17,32,6,0
41,17,32,6,0
42,17,32,6,0
43,17,32,6,0
44,17,32,6,0
45,17,32,6,0
46,17,32,6,0
47,16,33,6,0
48,16,33,6,0
49,16,33,6,0
50,16,33,6,0
51,16,33,6,0
52,15,34,6,0
53,15,34,6,0
54,15,34,6,0
55,15,34,6,0
56,14,35,6,0
57,14,35,6,0
58,14,35,6,0
59,14,35,6,0
60,14,35,6,0
61,14,35,6,0
62,14,35,6,0
63,14,35,6,0
64,14,35,6,0
65,14,35,6,0
66,14,35,6,0
67,14,35,6,0
68,14,35,6,0
69,14,35,6,0
70,14,35,6,0
71,14,35,6,0
72,14,35,6,0
73,14,35,6,0
74,14,35,6,0
75,13,36,6,0
76,13,36,6,0
77,13,36,6,0
78,13,36,6,0
79,13,36,6,0
80,13,36,6,0
81,12,37,7,0
82,12,37,7,0
83,12,37,7,0
84,12,37,7,0
85,12,37,7,0
86,12,37,7,0
87,12,37,7,0
88,12,37,7,0
89,12,37,7,0
90,12,37,7,0
91,12,37,7,0
92,11,38,8,0
93,11,38,8,0
94,11,38,8,0
95,11,38,8,0
96,11,38,8,0
97,11,38,8,0
98,11,38,8,0
99,11,38,8,0
100,11,38,8,0
101,11,38,8,0
102,11,38,8,0
103,11,38,8,0
104,11,38,8,0
105,11,38,8,0
106,11,38,8,0
107,11,38,8,0
108,11,38,8,0
109,10,39,9,0
110,10,39,9,0
111,10,39,9,0
112,10,39,9,0
113,10,39,9,0
114,10,39,9,0
115,10,39,9,0
116,10,39,9,0
117,10,39,9,0
118,10,39,9,0
119,10,39,9,0
120,10,39,9,0
121,10,39,9,0
122,10,39,9,0
123,10,39,9,0
124,9,40,10,0
125,9,40,10,0
126,9,40,10,0
127,9,40,10,0
128,9,40,10,0
129,9,40,10,0
130,9,40,10,0
131,9,40,10,0
132,9,40,10,0
133,9,40,10,0
134,8,41,10,0
135,8,41,10,0
136,8,41,10,0
137,8,41,10,0
138,8,41,10,0
139,8,41,10,0
140,8,41,10,0
141,8,41,10,0
142,8,41,10,0
143,8,41,10,0
144,8,41,10,0
145,8,41,10,0
146,8,41,10,0
147,8,41,10,0
148,8,41,10,0
149,8,41,10,0
150,8,41,10,0
151,8,41,10,0
152,8,41,10,0
153,8,41,10,0
154,8,41,10,0
155,8,41,10,0
156,8,41,10,0
157,8,41,10,0
158,8,41,10,0
159,8,41,10,0
160,8,41,10,0
161,8,41,10,0
162,8,41,10,0
163,8,41,10,0
164,8,41,10,0
165,8,41,10,0
166,8,41,10,0
167,8,41,10,0
168,8,41,10,0
169,8,41,10,0
170,8,41,10,0
171,8,41,10,0
172,8,41,10,0
173,8,41,10,0
174,8,41,10,0
175,8,41,10,0
176,8,41,10,0
177,8,41,10,0
178,8,41,10,0
179,8,41,10,0
180,8,41,10,0
181,8,41,10,0
182,8,41,10,0
183,8,41,10,0
184,8,41,10,0
185,8,41,10,0
186,8,41,10,0
187,8,41,10,0
188,8,41,10,0
189,8,41,10,0
190,8,41,10,0
191,8,41,10,0
192,8,41,10,0
193,8,41,10,0
194,8,41,10,0
195,8,41,10,0
196,8,41,10,0
197,8,41,10,0
198,8,41,10,0
199,8,41,10,0
200,8,41,10,0
201,8,41,10,0
202,8,41,10,0
203,8,41,10,0
204,8,41,10,0
205,8,41,10,0
206,8,41,10,0
207,8,41,10,0
208,8,41,10,0
209,8,41,10,0
210,8,41,10,0
211,8,41,10,0
212,8,41,10,0
213,8,41,10,0
214,8,41,10,0
215,8,41,10,0
216,8,41,10,0
217,8,41,10,0
218,8,41,10,0
219,8,41,10,0
220,8,41,10,0
221,8,41,10,0
222,8,41,10,0
223,8,41,10,0
224,8,41,10,0
225,8,41,10,0
226,8,41,10,0
227,8,41,10,0
228,8,41,10,0
229,8,41,10,0
230,8,41,10,0
231,8,41,10,0
232,8,41,10,0
233,8,41,10,0
234,8,41,10,0
235,8,41,10,0
236,8,41,10,0
237,8,41,10,0
238,8,41,10,0
239,8,41,10,0
240,8,41,10,0
241,8,41,10,0
242,8,41,10,0
243,8,41,10,0
244,8,41,10,0
245,8,41,10,0
