Time (in Seconds),Susceptible Agents,Infected Agents,Isolating Agents,Masked Agents
1,24,25,0,35
2,24,25,0,35
3,24,25,0,35
4,23,26,1,35
5,23,26,1,35
6,23,26,1,35
7,23,26,1,35
8,23,26,1,35
9,23,26,1,35
10,23,26,1,35
11,23,26,1,35
12,23,26,1,35
13,23,26,1,35
14,23,26,1,35
15,23,26,1,35
16,22,27,2,35
17,22,27,2,35
18,22,27,2,35
19,21,28,3,35
20,21,28,3,35
21,21,28,3,35
22,21,28,3,35
23,21,28,3,35
24,21,28,3,35
25,21,28,3,35
26,21,28,3,35
27,21,28,3,35
28,21,28,3,35
29,21,28,3,35
30,21,28,3,35
31,21,28,3,35
32,21,28,3,35
33,21,28,3,35
34,21,28,3,35
35,21,28,3,35
36,21,28,3,35
37,21,28,3,35
38,21,28,3,35
39,21,28,3,35
40,19,30,4,35
41,19,30,4,35
42,19,30,4,35
43,19,30,4,35
44,19,30,4,35
45,19,30,4,35
46,19,30,4,35
47,19,30,4,35
48,19,30,4,35
49,19,30,4,35
50,19,30,4,35
51,19,30,4,35
52,19,30,4,35
53,19,30,4,35
54,19,30,4,35
55,19,30,4,35
56,19,30,4,35
57,19,30,4,35
58,19,30,4,35
59,19,30,4,35
60,19,30,4,35
61,18,31,5,35
62,18,31,5,35
63,18,31,5,35
64,17,32,5,35
65,17,32,5,35
66,17,32,5,35
67,17,32,5,35
68,17,32,5,35
69,17,32,5,35
70,16,33,6,35
71,16,33,6,35
72,15,34,6,35
73,15,34,6,35
74,15,34,6,35
75,15,34,6,35
76,15,34,6,35
77,15,34,6,35
78,15,34,6,35
79,15,34,6,35
80,14,35,6,35
81,14,35,6,35
82,14,35,6,35
83,14,35,6,35
84,14,35,6,35
85,14,35,6,35
86,14,35,6,35
87,14,35,6,35
88,14,35,6,35
89,14,35,6,35
90,14,35,6,35
91,14,35,6,35
92,14,35,6,35
93,14,35,6,35
94,14,35,6,35
95,14,35,6,35
96,14,35,6,35
97,14,35,6,35
98,14,35,6,35
99,14,35,6,35
100,14,35,6,35
101,14,35,6,35
102,14,35,6,35
103,14,35,6,35
104,14,35,6,35
105,14,35,6,35
106,14,35,6,35
107,14,35,6,35
108,14,35,6,35
109,14,35,6,35
110,14,35,6,35
111,13,36,6,35
112,13,36,6,35
113,13,36,6,35
114,13,36,6,35
115,12,37,6,35
116,12,37,6,35
117,12,37,6,35
118,12,37,6,35
119,12,37,6,35
120,12,37,6,35
121,12,37,6,35
122,12,37,6,35
123,12,37,6,35
124,12,37,6,35
125,12,37,6,35
126,12,37,6,35
127,12,37,6,35
128,12,37,6,35
