Time (in Seconds),Susceptible Agents,Infected Agents,Isolating Agents,Masked Agents
1,24,25,0,33
2,24,25,0,33
3,24,25,0,33
4,24,25,0,33
5,24,25,0,33
6,24,25,0,33
7,23,26,1,33
8,23,26,1,33
9,22,27,2,33
10,22,27,2,33
11,22,27,2,33
12,22,27,2,33
13,22,27,2,33
14,22,27,2,33
15,21,28,2,33
16,20,29,3,33
17,20,29,3,33
18,20,29,3,33
19,20,29,3,33
20,20,29,3,33
21,20,29,3,33
22,20,29,3,33
23,20,29,3,33
24,20,29,3,33
25,20,29,3,33
26,20,29,3,33
27,19,30,4,33
28,19,30,4,33
29,19,30,4,33
30,19,30,4,33
31,19,30,4,33
32,19,30,4,33
33,19,30,4,33
34,19,30,4,33
35,19,30,4,33
36,19,30,4,33
37,18,31,4,33
38,17,32,4,33
39,17,32,4,33
40,16,33,4,33
41,16,33,4,33
42,16,33,4,33
43,16,33,4,33
44,15,34,5,33
45,15,34,5,33
46,15,34,5,33
47,15,34,5,33
48,14,35,5,33
49,14,35,5,33
50,13,36,5,33
51,13,36,5,33
52,13,36,5,33
53,13,36,5,33
54,13,36,5,33
55,13,36,5,33
56,13,36,5,33
57,13,36,5,33
58,13,36,5,33
59,13,36,5,33
60,13,36,5,33
61,13,36,5,33
62,13,36,5,33
63,13,36,5,33
64,13,36,5,33
65,13,36,5,33
66,12,37,5,33
67,12,37,5,33
68,12,37,5,33
69,12,37,5,33
70,12,37,5,33
71,12,37,5,33
72,12,37,5,33
73,12,37,5,33
74,12,37,5,33
75,12,37,5,33
76,12,37,5,33
77,12,37,5,33
78,12,37,5,33
79,12,37,5,33
80,12,37,5,33
81,12,37,5,33
82,12,37,5,33
83,12,37,5,33
84,12,37,5,33
85,12,37,5,33
86,11,38,6,33
87,11,38,6,33
88,11,38,6,33
89,11,38,6,33
90,11,38,6,33
91,11,38,6,33
92,11,38,6,33
93,11,38,6,33
94,11,38,6,33
95,10,39,6,33
96,10,39,6,33
97,10,39,6,33
98,10,39,6,33
99,10,39,6,33
100,10,39,6,33
101,10,39,6,33
102,10,39,6,33
103,10,39,6,33
104,10,39,6,33
105,9,40,6,33
106,9,40,6,33
107,9,40,6,33
108,9,40,6,33
109,9,40,6,33
110,9,40,6,33
111,9,40,6,33
112,9,40,6,33
113,9,40,6,33
114,9,40,6,33
115,9,40,6,33
116,9,40,6,33
117,9,40,6,33
118,9,40,6,33
119,8,41,7,33
120,8,41,7,33
121,8,41,7,33
122,8,41,7,33
123,8,41,7,33
124,8,41,7,33
125,8,41,7,33
126,8,41,7,33
127,8,41,7,33
128,8,41,7,33
129,8,41,7,33
130,8,41,7,33
131,8,41,7,33
132,7,42,8,33
133,7,42,8,33
134,7,42,8,33
135,7,42,8,33
136,7,42,8,33
137,7,42,8,33
138,7,42,8,33
139,7,42,8,33
140,7,42,8,33
141,7,42,8,33
142,7,42,8,33
143,7,42,8,33
144,7,42,8,33
145,7,42,8,33
146,7,42,8,33
147,7,42,8,33
148,7,42,8,33
149,7,42,8,33
150,7,42,8,33
151,7,42,8,33
152,7,42,8,33
153,7,42,8,33
154,7,42,8,33
155,7,42,8,33
156,7,42,8,33
157,7,42,8,33
158,7,42,8,33
159,7,42,8,33
160,7,42,8,33
161,7,42,8,33
162,6,43,9,33
163,6,43,9,33
164,6,43,9,33
165,6,43,9,33
166,6,43,9,33
167,6,43,9,33
168,6,43,9,33
169,6,43,9,33
170,6,43,9,33
171,6,43,9,33
172,6,43,9,33
173,6,43,9,33
174,6,43,9,33
175,6,43,9,33
176,6,43,9,33
177,6,43,9,33
178,6,43,9,33
179,6,43,9,33
180,6,43,9,33
181,6,43,9,33
182,6,43,9,33
183,6,43,9,33
184,6,43,9,33
185,6,43,9,33
186,6,43,9,33
187,6,43,9,33
188,6,43,9,33
189,6,43,9,33
190,6,43,9,33
191,5,44,9,33
192,5,44,9,33
