Time (in Seconds),Susceptible Agents,Infected Agents,Isolating Agents,Masked Agents
1,22,27,0,40
2,22,27,0,40
3,22,27,0,40
4,21,28,0,40
5,21,28,0,40
6,21,28,0,40
7,21,28,0,40
8,21,28,0,40
9,21,28,0,40
10,20,29,1,40
11,20,29,1,40
12,20,29,1,40
13,20,29,1,40
14,20,29,1,40
15,20,29,1,40
16,20,29,1,40
17,20,29,1,40
18,20,29,1,40
19,20,29,1,40
20,20,29,1,40
21,20,29,1,40
22,20,29,1,40
23,19,30,1,40
24,19,30,1,40
25,19,30,1,40
26,19,30,1,40
27,19,30,1,40
28,19,30,1,40
29,19,30,1,40
30,19,30,1,40
31,19,30,1,40
32,19,30,1,40
33,19,30,1,40
34,19,30,1,40
35,19,30,1,40
36,19,30,1,40
37,19,30,1,40
38,19,30,1,40
39,19,30,1,40
40,19,30,1,40
41,19,30,1,40
42,19,30,1,40
43,18,31,2,40
44,18,31,2,40
45,18,31,2,40
46,18,31,2,40
47,18,31,2,40
48,18,31,2,40
49,18,31,2,40
50,18,31,2,40
51,18,31,2,40
52,18,31,2,40
53,17,32,3,40
54,17,32,3,40
55,16,33,3,40
56,15,34,3,40
57,15,34,3,40
58,15,34,3,40
59,15,34,3,40
60,15,34,3,40
61,15,34,3,40
62,15,34,3,40
63,15,34,3,40
64,15,34,3,40
65,15,34,3,40
66,15,34,3,40
67,15,34,3,40
68,14,35,3,40
69,14,35,3,40
70,14,35,3,40
71,13,36,3,40
72,13,36,3,40
73,13,36,3,40
74,13,36,3,40
75,13,36,3,40
76,13,36,3,40
77,13,36,3,40
78,13,36,3,40
79,13,36,3,40
80,13,36,3,40
81,13,36,3,40
82,13,36,3,40
83,13,36,3,40
84,12,37,3,40
85,12,37,3,40
86,12,37,3,40
87,12,37,3,40
88,12,37,3,40
89,12,37,3,40
90,11,38,3,40
91,11,38,3,40
92,10,39,3,40
93,10,39,3,40
94,10,39,3,40
95,10,39,3,40
96,10,39,3,40
97,10,39,3,40
98,10,39,3,40
99,10,39,3,40
100,9,40,3,40
101,9,40,3,40
102,9,40,3,40
103,9,40,3,40
104,9,40,3,40
105,9,40,3,40
106,9,40,3,40
107,9,40,3,40
108,7,42,3,40
109,7,42,3,40
110,7,42,3,40
111,7,42,3,40
112,7,42,3,40
113,7,42,3,40
114,7,42,3,40
115,7,42,3,40
116,6,43,4,40
117,6,43,4,40
118,6,43,4,40
119,6,43,4,40
120,6,43,4,40
121,6,43,4,40
122,6,43,4,40
123,5,44,4,40
124,5,44,4,40
125,5,44,4,40
126,5,44,4,40
127,4,45,4,40
128,4,45,4,40
129,3,46,5,40
130,2,47,6,40
131,2,47,6,40
132,2,47,6,40
133,2,47,6,40
134,2,47,6,40
135,2,47,6,40
136,2,47,6,40
137,2,47,6,40
138,2,47,6,40
139,2,47,6,40
140,2,47,6,40
141,2,47,6,40
142,2,47,6,40
143,2,47,6,40
144,2,47,6,40
145,2,47,6,40
146,2,47,6,40
147,2,47,6,40
148,2,47,6,40
149,2,47,6,40
150,2,47,6,40
151,2,47,6,40
152,2,47,6,40
153,2,47,6,40
154,2,47,6,40
155,2,47,6,40
156,2,47,6,40
157,2,47,6,40
158,2,47,6,40
159,2,47,6,40
160,2,47,6,40
161,2,47,6,40
162,2,47,6,40
163,2,47,6,40
164,2,47,6,40
165,2,47,6,40
166,2,47,6,40
167,2,47,6,40
168,2,47,6,40
169,2,47,6,40
170,2,47,6,40
171,2,47,6,40
172,2,47,6,40
173,2,47,6,40
174,2,47,6,40
175,2,47,6,40
176,2,47,6,40
177,2,47,6,40
178,2,47,6,40
179,2,47,6,40
180,2,47,6,40
181,2,47,6,40
182,2,47,6,40
183,2,47,6,40
184,2,47,6,40
185,2,47,6,40
186,2,47,6,40
187,2,47,6,40
188,2,47,6,40
189,2,47,6,40
190,2,47,6,40
191,2,47,6,40
192,2,47,6,40
193,2,47,6,40
194,2,47,6,40
195,2,47,6,40
196,2,47,6,40
197,2,47,6,40
198,2,47,6,40
199,2,47,6,40
200,2,47,6,40
201,2,47,6,40
202,2,47,6,40
203,2,47,6,40
204,2,47,6,40
205,2,47,6,40
206,2,47,6,40
207,2,47,6,40
208,2,47,6,40
209,2,47,6,40
210,2,47,6,40
211,2,47,6,40
212,2,47,6,40
213,2,47,6,40
214,2,47,6,40
215,2,47,6,40
216,2,47,6,40
217,2,47,6,40
218,2,47,6,40
219,2,47,6,40
220,2,47,6,40
221,2,47,6,40
222,2,47,6,40
223,2,47,6,40
224,2,47,6,40
225,2,47,6,40
226,2,47,6,40
227,2,47,6,40
228,2,47,6,40
229,2,47,6,40
230,2,47,6,40
231,2,47,6,40
232,2,47,6,40
233,2,47,6,40
234,2,47,6,40
235,2,47,6,40
236,2,47,6,40
237,2,47,6,40
238,2,47,6,40
239,1,48,6,40
240,1,48,6,40
241,1,48,6,40
242,1,48,6,40
243,1,48,6,40
244,1,48,6,40
245,1,48,6,40
246,1,48,6,40
247,1,48,6,40
248,1,48,6,40
249,1,48,6,40
250,1,48,6,40
251,1,48,6,40
252,1,48,6,40
253,1,48,6,40
254,1,48,6,40
255,1,48,6,40
256,1,48,6,40
257,1,48,6,40
258,1,48,6,40
259,1,48,6,40
260,1,48,6,40
261,1,48,6,40
262,1,48,6,40
263,1,48,6,40
264,1,48,6,40
265,1,48,6,40
266,1,48,6,40
267,1,48,6,40
268,1,48,6,40
269,1,48,6,40
270,1,48,6,40
271,1,48,6,40
272,1,48,6,40
273,1,48,6,40
274,1,48,6,40
275,1,48,6,40
276,1,48,6,40
277,1,48,6,40
278,1,48,6,40
279,1,48,6,40
280,1,48,6,40
281,1,48,6,40
282,1,48,6,40
283,1,48,6,40
284,1,48,6,40
285,1,48,6,40
286,1,48,6,40
287,1,48,6,40
288,1,48,6,40
289,1,48,6,40
290,1,48,6,40
291,1,48,6,40
292,1,48,6,40
293,1,48,6,40
294,1,48,6,40
295,1,48,6,40
296,1,48,6,40
297,1,48,6,40
298,1,48,6,40
299,1,48,6,40
300,1,48,6,40
301,1,48,6,40
302,1,48,6,40
303,1,48,6,40
304,1,48,6,40
305,1,48,6,40
306,1,48,6,40
307,1,48,6,40
308,1,48,6,40
309,1,48,6,40
