Time (in Seconds),Susceptible Agents,Infected Agents,Isolating Agents,Masked Agents
1,31,18,0,0
2,30,19,0,0
3,30,19,0,0
4,30,19,0,0
5,29,20,1,0
6,29,20,1,0
7,29,20,1,0
8,29,20,1,0
9,29,20,1,0
10,29,20,1,0
11,28,21,1,0
12,28,21,1,0
13,28,21,1,0
14,28,21,1,0
15,28,21,1,0
16,28,21,1,0
17,28,21,1,0
18,28,21,1,0
19,28,21,1,0
20,28,21,1,0
21,28,21,1,0
22,28,21,1,0
23,28,21,1,0
24,26,23,1,0
25,26,23,1,0
26,26,23,1,0
27,26,23,1,0
28,26,23,1,0
29,26,23,1,0
30,26,23,1,0
31,26,23,1,0
32,25,24,1,0
33,25,24,1,0
34,25,24,1,0
35,25,24,1,0
36,25,24,1,0
37,25,24,1,0
38,25,24,1,0
39,25,24,1,0
40,25,24,1,0
41,25,24,1,0
42,25,24,1,0
43,25,24,1,0
44,25,24,1,0
45,25,24,1,0
46,25,24,1,0
47,25,24,1,0
48,24,25,1,0
49,24,25,1,0
50,24,25,1,0
51,24,25,1,0
52,24,25,1,0
53,24,25,1,0
54,24,25,1,0
55,24,25,1,0
56,24,25,1,0
57,24,25,1,0
58,24,25,1,0
59,23,26,1,0
60,22,27,1,0
61,22,27,1,0
62,22,27,1,0
63,22,27,1,0
64,22,27,1,0
65,22,27,1,0
66,22,27,1,0
67,22,27,1,0
68,22,27,1,0
69,22,27,1,0
70,22,27,1,0
71,22,27,1,0
72,22,27,1,0
73,22,27,1,0
74,20,29,2,0
75,20,29,2,0
76,20,29,2,0
77,20,29,2,0
78,20,29,2,0
79,20,29,2,0
80,20,29,2,0
81,20,29,2,0
82,20,29,2,0
83,20,29,2,0
84,20,29,2,0
85,20,29,2,0
86,20,29,2,0
87,19,30,3,0
88,19,30,3,0
89,19,30,3,0
90,19,30,3,0
91,18,31,3,0
92,18,31,3,0
93,16,33,3,0
94,16,33,3,0
95,16,33,3,0
96,16,33,3,0
97,16,33,3,0
98,16,33,3,0
99,16,33,3,0
100,16,33,3,0
101,16,33,3,0
102,16,33,3,0
103,16,33,3,0
104,16,33,3,0
105,16,33,3,0
106,16,33,3,0
107,16,33,3,0
108,16,33,3,0
109,16,33,3,0
110,16,33,3,0
111,16,33,3,0
112,16,33,3,0
113,16,33,3,0
114,16,33,3,0
115,16,33,3,0
116,16,33,3,0
117,16,33,3,0
118,15,34,3,0
119,15,34,3,0
120,14,35,3,0
121,14,35,3,0
122,13,36,4,0
123,13,36,4,0
124,13,36,4,0
125,13,36,4,0
126,13,36,4,0
127,13,36,4,0
128,13,36,4,0
129,13,36,4,0
130,13,36,4,0
131,12,37,4,0
132,12,37,4,0
133,12,37,4,0
134,12,37,4,0
135,12,37,4,0
136,12,37,4,0
137,12,37,4,0
138,12,37,4,0
139,12,37,4,0
140,12,37,4,0
141,12,37,4,0
142,12,37,4,0
143,12,37,4,0
144,12,37,4,0
145,12,37,4,0
146,12,37,4,0
147,12,37,4,0
148,12,37,4,0
149,12,37,4,0
150,12,37,4,0
151,12,37,4,0
152,12,37,4,0
153,12,37,4,0
154,12,37,4,0
155,11,38,4,0
156,11,38,4,0
157,10,39,4,0
158,10,39,4,0
159,10,39,4,0
160,10,39,4,0
161,10,39,4,0
162,10,39,4,0
163,10,39,4,0
164,10,39,4,0
165,10,39,4,0
166,10,39,4,0
167,10,39,4,0
168,10,39,4,0
169,9,40,4,0
170,9,40,4,0
171,9,40,4,0
172,9,40,4,0
173,9,40,4,0
174,9,40,4,0
175,9,40,4,0
176,9,40,4,0
177,9,40,4,0
178,9,40,4,0
179,9,40,4,0
180,9,40,4,0
181,9,40,4,0
182,9,40,4,0
183,9,40,4,0
184,9,40,4,0
185,9,40,4,0
186,9,40,4,0
187,9,40,4,0
188,9,40,4,0
189,9,40,4,0
190,9,40,4,0
191,9,40,4,0
192,8,41,5,0
193,8,41,5,0
194,8,41,5,0
195,8,41,5,0
196,8,41,5,0
197,8,41,5,0
198,8,41,5,0
199,8,41,5,0
200,8,41,5,0
201,8,41,5,0
202,8,41,5,0
203,8,41,5,0
204,8,41,5,0
205,8,41,5,0
206,8,41,5,0
207,8,41,5,0
208,8,41,5,0
209,8,41,5,0
210,8,41,5,0
211,8,41,5,0
212,8,41,5,0
213,8,41,5,0
214,8,41,5,0
215,8,41,5,0
216,8,41,5,0
217,8,41,5,0
218,8,41,5,0
219,8,41,5,0
220,8,41,5,0
221,8,41,5,0
222,8,41,5,0
223,7,42,5,0
224,7,42,5,0
225,7,42,5,0
226,7,42,5,0
