Time (in Seconds),Susceptible Agents,Infected Agents,Isolating Agents,Masked Agents
1,27,22,0,37
2,27,22,0,37
3,27,22,0,37
4,27,22,0,37
5,27,22,0,37
6,27,22,0,37
7,27,22,0,37
8,27,22,0,37
9,27,22,0,37
10,26,23,1,37
11,26,23,1,37
12,26,23,1,37
13,26,23,1,37
14,26,23,1,37
15,26,23,1,37
16,26,23,1,37
17,26,23,1,37
18,26,23,1,37
19,26,23,1,37
20,26,23,1,37
21,26,23,1,37
22,26,23,1,37
23,25,24,1,37
24,25,24,1,37
25,25,24,1,37
26,25,24,1,37
27,25,24,1,37
28,25,24,1,37
29,25,24,1,37
30,25,24,1,37
31,25,24,1,37
32,25,24,1,37
33,25,24,1,37
34,25,24,1,37
35,24,25,1,37
36,24,25,1,37
37,24,25,1,37
38,24,25,1,37
39,24,25,1,37
40,24,25,1,37
41,24,25,1,37
42,24,25,1,37
43,24,25,1,37
44,24,25,1,37
45,24,25,1,37
46,24,25,1,37
47,24,25,1,37
48,23,26,2,37
49,23,26,2,37
50,23,26,2,37
51,22,27,2,37
52,21,28,2,37
53,21,28,2,37
54,21,28,2,37
55,21,28,2,37
56,21,28,2,37
57,21,28,2,37
58,20,29,2,37
59,20,29,2,37
60,19,30,3,37
61,19,30,3,37
62,19,30,3,37
63,18,31,4,37
64,18,31,4,37
65,18,31,4,37
66,18,31,4,37
67,17,32,4,37
68,17,32,4,37
69,17,32,4,37
70,17,32,4,37
71,17,32,4,37
72,17,32,4,37
73,17,32,4,37
74,17,32,4,37
75,17,32,4,37
76,16,33,4,37
77,16,33,4,37
78,16,33,4,37
79,16,33,4,37
80,16,33,4,37
81,16,33,4,37
82,16,33,4,37
83,16,33,4,37
84,16,33,4,37
85,15,34,5,37
86,15,34,5,37
87,15,34,5,37
88,15,34,5,37
89,14,35,6,37
90,14,35,6,37
91,14,35,6,37
92,12,37,6,37
93,12,37,6,37
94,12,37,6,37
95,12,37,6,37
96,12,37,6,37
97,12,37,6,37
98,12,37,6,37
99,12,37,6,37
100,12,37,6,37
101,12,37,6,37
102,11,38,7,37
103,11,38,7,37
104,11,38,7,37
105,11,38,7,37
106,11,38,7,37
107,11,38,7,37
108,11,38,7,37
109,11,38,7,37
110,11,38,7,37
111,11,38,7,37
112,11,38,7,37
113,11,38,7,37
114,11,38,7,37
115,11,38,7,37
116,11,38,7,37
117,11,38,7,37
118,11,38,7,37
119,11,38,7,37
120,11,38,7,37
121,11,38,7,37
122,11,38,7,37
123,11,38,7,37
124,11,38,7,37
125,11,38,7,37
126,11,38,7,37
127,11,38,7,37
128,11,38,7,37
129,11,38,7,37
130,11,38,7,37
131,11,38,7,37
132,11,38,7,37
133,11,38,7,37
134,11,38,7,37
135,11,38,7,37
136,10,39,8,37
137,10,39,8,37
138,10,39,8,37
139,10,39,8,37
140,10,39,8,37
141,10,39,8,37
142,10,39,8,37
143,9,40,8,37
144,9,40,8,37
145,9,40,8,37
146,9,40,8,37
147,9,40,8,37
148,9,40,8,37
149,9,40,8,37
150,8,41,9,37
151,8,41,9,37
152,8,41,9,37
153,8,41,9,37
154,8,41,9,37
155,8,41,9,37
156,8,41,9,37
157,8,41,9,37
158,8,41,9,37
159,8,41,9,37
160,8,41,9,37
161,8,41,9,37
162,8,41,9,37
163,8,41,9,37
164,8,41,9,37
165,8,41,9,37
166,8,41,9,37
167,8,41,9,37
168,8,41,9,37
169,8,41,9,37
170,8,41,9,37
171,8,41,9,37
172,8,41,9,37
173,8,41,9,37
174,8,41,9,37
175,8,41,9,37
176,8,41,9,37
177,8,41,9,37
178,8,41,9,37
179,8,41,9,37
180,8,41,9,37
181,8,41,9,37
182,8,41,9,37
183,8,41,9,37
184,8,41,9,37
185,8,41,9,37
186,8,41,9,37
187,8,41,9,37
188,8,41,9,37
189,8,41,9,37
190,8,41,9,37
191,8,41,9,37
192,8,41,9,37
193,8,41,9,37
194,8,41,9,37
195,8,41,9,37
196,8,41,9,37
197,7,42,10,37
198,7,42,10,37
199,7,42,10,37
200,7,42,10,37
201,7,42,10,37
202,7,42,10,37
203,7,42,10,37
204,7,42,10,37
205,7,42,10,37
206,7,42,10,37
207,7,42,10,37
208,7,42,10,37
209,7,42,10,37
210,7,42,10,37
211,7,42,10,37
212,7,42,10,37
213,7,42,10,37
214,7,42,10,37
215,7,42,10,37
216,7,42,10,37
217,7,42,10,37
218,7,42,10,37
219,7,42,10,37
220,7,42,10,37
221,6,43,10,37
222,6,43,10,37
223,6,43,10,37
224,6,43,10,37
225,6,43,10,37
226,6,43,10,37
227,6,43,10,37
228,6,43,10,37
229,6,43,10,37
230,6,43,10,37
231,6,43,10,37
232,6,43,10,37
233,6,43,10,37
234,6,43,10,37
235,6,43,10,37
236,6,43,10,37
237,6,43,10,37
238,5,44,10,37
239,5,44,10,37
240,5,44,10,37
241,5,44,10,37
242,5,44,10,37
243,5,44,10,37
244,5,44,10,37
245,5,44,10,37
246,5,44,10,37
247,5,44,10,37
248,5,44,10,37
249,5,44,10,37
250,5,44,10,37
251,5,44,10,37
252,5,44,10,37
253,5,44,10,37
254,5,44,10,37
255,4,45,10,37
256,4,45,10,37
257,4,45,10,37
258,4,45,10,37
259,4,45,10,37
260,4,45,10,37
261,4,45,10,37
262,4,45,10,37
263,4,45,10,37
264,4,45,10,37
265,4,45,10,37
266,4,45,10,37
267,4,45,10,37
268,4,45,10,37
269,4,45,10,37
270,4,45,10,37
271,4,45,10,37
272,4,45,10,37
273,4,45,10,37
274,4,45,10,37
275,4,45,10,37
276,4,45,10,37
277,4,45,10,37
278,4,45,10,37
279,4,45,10,37
280,4,45,10,37
281,4,45,10,37
282,4,45,10,37
283,4,45,10,37
284,4,45,10,37
285,4,45,10,37
286,4,45,10,37
287,4,45,10,37
288,4,45,10,37
289,4,45,10,37
290,4,45,10,37
291,4,45,10,37
292,4,45,10,37
293,4,45,10,37
294,4,45,10,37
295,4,45,10,37
296,4,45,10,37
297,4,45,10,37
298,4,45,10,37
299,4,45,10,37
300,4,45,10,37
301,4,45,10,37
302,4,45,10,37
303,4,45,10,37
304,4,45,10,37
305,4,45,10,37
306,4,45,10,37
307,4,45,10,37
308,4,45,10,37
309,4,45,10,37
310,4,45,10,37
311,4,45,10,37
312,4,45,10,37
313,4,45,10,37
314,4,45,10,37
315,4,45,10,37
316,4,45,10,37
317,4,45,10,37
318,4,45,10,37
319,4,45,10,37
320,4,45,10,37
321,4,45,10,37
322,4,45,10,37
323,4,45,10,37
324,4,45,10,37
325,4,45,10,37
326,4,45,10,37
327,4,45,10,37
328,4,45,10,37
329,4,45,10,37
330,4,45,10,37
331,4,45,10,37
332,4,45,10,37
333,4,45,10,37
334,4,45,10,37
335,4,45,10,37
336,4,45,10,37
337,4,45,10,37
338,4,45,10,37
339,4,45,10,37
340,4,45,10,37
341,4,45,10,37
342,4,45,10,37
343,4,45,10,37
344,4,45,10,37
345,4,45,10,37
346,4,45,10,37
347,4,45,10,37
348,4,45,10,37
349,4,45,10,37
350,4,45,10,37
351,4,45,10,37
352,4,45,10,37
353,4,45,10,37
354,4,45,10,37
355,4,45,10,37
356,4,45,10,37
357,3,46,10,37
358,3,46,10,37
359,3,46,10,37
360,3,46,10,37
361,3,46,10,37
362,3,46,10,37
363,3,46,10,37
364,3,46,10,37
365,3,46,10,37
366,3,46,10,37
367,3,46,10,37
368,3,46,10,37
369,3,46,10,37
370,3,46,10,37
371,3,46,10,37
372,3,46,10,37
373,3,46,10,37
374,3,46,10,37
375,3,46,10,37
376,3,46,10,37
377,3,46,10,37
378,3,46,10,37
379,3,46,10,37
380,3,46,10,37
381,3,46,10,37
382,3,46,10,37
383,3,46,10,37
384,3,46,10,37
385,3,46,10,37
386,3,46,10,37
387,3,46,10,37
