Time (in Seconds),Susceptible Agents,Infected Agents,Isolating Agents,Masked Agents
1,28,21,0,35
2,28,21,0,35
3,28,21,0,35
4,28,21,0,35
5,28,21,0,35
6,28,21,0,35
7,28,21,0,35
8,28,21,0,35
9,28,21,0,35
10,28,21,0,35
11,28,21,0,35
12,27,22,1,35
13,27,22,1,35
14,27,22,1,35
15,27,22,1,35
16,27,22,1,35
17,27,22,1,35
18,27,22,1,35
19,27,22,1,35
20,27,22,1,35
21,27,22,1,35
22,27,22,1,35
23,27,22,1,35
24,27,22,1,35
25,27,22,1,35
26,27,22,1,35
27,27,22,1,35
28,27,22,1,35
29,27,22,1,35
30,27,22,1,35
31,26,23,2,35
32,26,23,2,35
33,26,23,2,35
34,26,23,2,35
35,26,23,2,35
36,26,23,2,35
37,26,23,2,35
38,26,23,2,35
39,26,23,2,35
40,26,23,2,35
41,26,23,2,35
42,26,23,2,35
43,26,23,2,35
44,26,23,2,35
45,26,23,2,35
46,26,23,2,35
47,26,23,2,35
48,26,23,2,35
49,26,23,2,35
50,26,23,2,35
51,26,23,2,35
52,26,23,2,35
53,26,23,2,35
54,26,23,2,35
55,26,23,2,35
56,26,23,2,35
57,26,23,2,35
58,26,23,2,35
59,26,23,2,35
60,26,23,2,35
61,26,23,2,35
62,26,23,2,35
63,26,23,2,35
64,26,23,2,35
65,26,23,2,35
66,26,23,2,35
67,26,23,2,35
68,26,23,2,35
69,26,23,2,35
70,26,23,2,35
71,26,23,2,35
72,26,23,2,35
73,25,24,2,35
74,25,24,2,35
75,25,24,2,35
76,25,24,2,35
77,25,24,2,35
78,25,24,2,35
79,25,24,2,35
80,25,24,2,35
81,25,24,2,35
82,25,24,2,35
83,25,24,2,35
84,25,24,2,35
85,25,24,2,35
86,25,24,2,35
87,25,24,2,35
88,25,24,2,35
89,25,24,2,35
90,25,24,2,35
91,25,24,2,35
92,25,24,2,35
93,25,24,2,35
94,25,24,2,35
95,25,24,2,35
96,25,24,2,35
97,25,24,2,35
98,25,24,2,35
99,25,24,2,35
